node_id,period,volume,order_count,promotion_flag,holiday_flag,observed_or_planned
DC_GUWAHATI,2025-07,2188,230,FALSE,FALSE,OBSERVED
DC_DELHI,2025-08,7600,800,FALSE,FALSE,OBSERVED
DC_MUMBAI,2025-08,6927,729,FALSE,FALSE,OBSERVED
DC_BENGALURU,2025-08,5730,603,FALSE,FALSE,OBSERVED
DC_KOLKATA,2025-08,3318,349,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2025-08,2217,233,FALSE,FALSE,OBSERVED
DC_DELHI,2025-09,7800,821,FALSE,FALSE,OBSERVED
DC_MUMBAI,2025-09,6930,730,FALSE,FALSE,OBSERVED
DC_BENGALURU,2025-09,5621,592,FALSE,FALSE,OBSERVED
DC_KOLKATA,2025-09,3396,358,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2025-09,2210,233,FALSE,FALSE,OBSERVED
DC_DELHI,2025-10,8000,842,TRUE,FALSE,OBSERVED
DC_MUMBAI,2025-10,8028,845,TRUE,FALSE,OBSERVED
DC_BENGALURU,2025-10,6507,685,TRUE,FALSE,OBSERVED
DC_KOLKATA,2025-10,3654,385,TRUE,FALSE,OBSERVED
DC_GUWAHATI,2025-10,2386,251,TRUE,FALSE,OBSERVED
DC_DELHI,2025-11,8200,863,TRUE,FALSE,OBSERVED
DC_MUMBAI,2025-11,7828,824,TRUE,FALSE,OBSERVED
DC_BENGALURU,2025-11,6508,685,TRUE,FALSE,OBSERVED
DC_KOLKATA,2025-11,3630,382,TRUE,FALSE,OBSERVED
DC_GUWAHATI,2025-11,2475,261,TRUE,FALSE,OBSERVED
DC_DELHI,2025-12,8800,926,FALSE,TRUE,OBSERVED
DC_MUMBAI,2025-12,7556,795,FALSE,TRUE,OBSERVED
DC_BENGALURU,2025-12,5959,627,FALSE,TRUE,OBSERVED
DC_KOLKATA,2025-12,3580,377,FALSE,TRUE,OBSERVED
DC_GUWAHATI,2025-12,2301,242,FALSE,TRUE,OBSERVED
DC_DELHI,2026-01,8400,884,FALSE,FALSE,OBSERVED
DC_MUMBAI,2026-01,7305,769,FALSE,FALSE,OBSERVED
DC_BENGALURU,2026-01,5860,617,FALSE,FALSE,OBSERVED
DC_KOLKATA,2026-01,3413,359,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2026-01,2195,231,FALSE,FALSE,OBSERVED
DC_DELHI,2026-02,8300,874,FALSE,FALSE,OBSERVED
DC_MUMBAI,2026-02,7202,758,FALSE,FALSE,OBSERVED
DC_BENGALURU,2026-02,5891,620,FALSE,FALSE,OBSERVED
DC_KOLKATA,2026-02,3270,344,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2026-02,2162,228,FALSE,FALSE,OBSERVED
DC_DELHI,2026-03,8600,905,FALSE,FALSE,OBSERVED
DC_MUMBAI,2026-03,7065,744,FALSE,FALSE,OBSERVED
DC_BENGALURU,2026-03,5880,619,FALSE,FALSE,OBSERVED
DC_KOLKATA,2026-03,3353,353,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2026-03,2223,234,FALSE,FALSE,OBSERVED
DC_DELHI,2026-04,8500,895,FALSE,FALSE,OBSERVED
DC_MUMBAI,2026-04,7277,766,FALSE,FALSE,OBSERVED
DC_BENGALURU,2026-04,5900,621,FALSE,FALSE,OBSERVED
DC_KOLKATA,2026-04,3355,353,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2026-04,2227,234,FALSE,FALSE,OBSERVED
DC_DELHI,2026-05,8800,926,FALSE,FALSE,OBSERVED
DC_MUMBAI,2026-05,7432,782,FALSE,FALSE,OBSERVED
DC_BENGALURU,2026-05,6060,638,FALSE,FALSE,OBSERVED
DC_KOLKATA,2026-05,3437,362,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2026-05,2277,240,FALSE,FALSE,OBSERVED
DC_DELHI,2026-06,8600,905,FALSE,FALSE,OBSERVED
DC_MUMBAI,2026-06,7144,752,FALSE,FALSE,OBSERVED
DC_BENGALURU,2026-06,5838,614,FALSE,FALSE,OBSERVED
DC_KOLKATA,2026-06,3334,351,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2026-06,2192,231,FALSE,FALSE,OBSERVED
DC_DELHI,2026-07,9000,947,FALSE,FALSE,OBSERVED
DC_MUMBAI,2026-07,7075,745,FALSE,FALSE,OBSERVED
DC_BENGALURU,2026-07,6048,637,FALSE,FALSE,OBSERVED
DC_KOLKATA,2026-07,3517,370,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2026-07,2199,231,FALSE,FALSE,OBSERVED
DC_DELHI,2026-08,9200,968,FALSE,FALSE,OBSERVED
DC_MUMBAI,2026-08,7399,779,FALSE,FALSE,OBSERVED
DC_BENGALURU,2026-08,6185,651,FALSE,FALSE,OBSERVED
DC_KOLKATA,2026-08,3498,368,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2026-08,2213,233,FALSE,FALSE,OBSERVED
DC_DELHI,2026-09,9400,989,FALSE,FALSE,OBSERVED
DC_MUMBAI,2026-09,7405,779,FALSE,FALSE,OBSERVED
DC_BENGALURU,2026-09,5959,627,FALSE,FALSE,OBSERVED
DC_KOLKATA,2026-09,3389,357,FALSE,FALSE,OBSERVED
DC_GUWAHATI,2026-09,2201,232,FALSE,FALSE,OBSERVED
DC_DELHI,2026-10,9600,1011,TRUE,FALSE,OBSERVED
DC_MUMBAI,2026-10,8268,870,TRUE,FALSE,OBSERVED
DC_BENGALURU,2026-10,6970,734,TRUE,FALSE,OBSERVED
DC_KOLKATA,2026-10,3793,399,TRUE,FALSE,OBSERVED
DC_GUWAHATI,2026-10,2496,263,TRUE,FALSE,OBSERVED
DC_DELHI,2026-11,9800,1032,TRUE,FALSE,OBSERVED
DC_MUMBAI,2026-11,8231,866,TRUE,FALSE,OBSERVED
DC_BENGALURU,2026-11,6635,698,TRUE,FALSE,OBSERVED
DC_KOLKATA,2026-11,3891,410,TRUE,FALSE,OBSERVED
DC_GUWAHATI,2026-11,2594,273,TRUE,FALSE,OBSERVED
DC_DELHI,2026-12,10800,1137,FALSE,TRUE,OBSERVED
DC_MUMBAI,2026-12,7779,819,FALSE,TRUE,OBSERVED
DC_BENGALURU,2026-12,6243,657,FALSE,TRUE,OBSERVED
DC_KOLKATA,2026-12,3566,375,FALSE,TRUE,OBSERVED
DC_GUWAHATI,2026-12,2364,249,FALSE,TRUE,OBSERVED
